Date,National-US,Gold Price t0,Gold Price t1,Gold Price t2,Gold Price t3,SP500 t0,SP500 t1,SP500 t2,SP500 t3,Oil Price t0,Oil Price t1,Oil Price t2,Oil Price t3,FED Effective Rate t0,GDP t0,Unemployment t0,Inflation Rate t0,FED Effective Rate t1,GDP t1,Unemployment t1,Inflation Rate t1,FED Effective Rate t2,GDP t2,Unemployment t2,Inflation Rate t2,FED Effective Rate t3,GDP t3,Unemployment t3,Inflation Rate t3
1986-10-01,4.154969184038536,6.012550664104242,5.970228142444096,5.983893458611648,6.049410289812091,5.577841251298354,5.515845179076611,5.501666290534067,5.469746482175568,2.9258461460898246,2.779440197188883,2.7226103524335397,2.7013612129514133,6.43,2.8,6.6,3.8,6.91,,6.6,3.8,6.04,,6.9,3.8,5.85,2.1,7.0,4.0
1986-11-01,4.161224091061645,5.994073640461809,6.012550664104242,5.970228142444096,5.983893458611648,5.637998734110198,5.577841251298354,5.515845179076611,5.501666290534067,2.8763855159214247,2.9258461460898246,2.779440197188883,2.7226103524335397,6.1,,6.6,3.8,6.43,2.8,6.6,3.8,6.91,,6.6,3.8,6.04,,6.9,3.8
1986-12-01,4.166510173022286,6.013343448826424,5.994073640461809,6.012550664104242,5.970228142444096,5.678464666671911,5.637998734110198,5.577841251298354,5.515845179076611,2.9069010598473755,2.8763855159214247,2.9258461460898246,2.779440197188883,6.13,,6.6,4.0,6.1,,6.6,3.8,6.43,2.8,6.6,3.8,6.91,,6.6,3.8
1987-01-01,4.174233411906258,6.0860130732914515,6.013343448826424,5.994073640461809,6.012550664104242,5.6674642119820895,5.678464666671911,5.637998734110198,5.577841251298354,2.9274534328006965,2.9069010598473755,2.8763855159214247,2.9258461460898246,6.37,4.6,6.3,4.2,6.13,,6.6,4.0,6.1,,6.6,3.8,6.43,2.8,6.6,3.8
1987-02-01,4.183118274275528,6.134807028218637,6.0860130732914515,6.013343448826424,5.994073640461809,5.666772649022301,5.6674642119820895,5.678464666671911,5.637998734110198,2.967332799032293,2.9274534328006965,2.9069010598473755,2.8763855159214247,6.85,,6.3,4.2,6.37,4.6,6.3,4.2,6.13,,6.6,4.0,6.1,,6.6,3.8
1987-03-01,4.193284510077004,6.107650752954435,6.134807028218637,6.0860130732914515,6.013343448826424,5.708438286192395,5.666772649022301,5.6674642119820895,5.678464666671911,2.9992261628082466,2.967332799032293,2.9274534328006965,2.9069010598473755,6.73,,6.2,4.1,6.85,,6.3,4.2,6.37,4.6,6.3,4.2,6.13,,6.6,4.0
1987-04-01,4.2017030805426,6.109980647340194,6.107650752954435,6.134807028218637,6.0860130732914515,5.736894826106403,5.708438286192395,5.666772649022301,5.6674642119820895,3.060583245873607,2.9992261628082466,2.967332799032293,2.9274534328006965,6.58,3.7,6.1,4.0,6.73,,6.2,4.1,6.85,,6.3,4.2,6.37,4.6,6.3,4.2
1987-05-01,4.209011637200227,6.133372012289089,6.109980647340194,6.107650752954435,6.134807028218637,5.79727281774354,5.736894826106403,5.708438286192395,5.666772649022301,3.011113375592293,3.060583245873607,2.9992261628082466,2.967332799032293,6.73,,6.0,4.2,6.58,3.7,6.1,4.0,6.73,,6.2,4.1,6.85,,6.3,4.2
1987-06-01,4.21419952403038,6.13148732502781,6.133372012289089,6.109980647340194,6.107650752954435,5.764250221423291,5.79727281774354,5.736894826106403,5.708438286192395,2.9719517448885875,3.011113375592293,3.060583245873607,2.9992261628082466,7.22,,5.9,4.3,6.73,,6.0,4.2,6.58,3.7,6.1,4.0,6.73,,6.2,4.1
1987-07-01,4.218330542003092,6.143679068074485,6.13148732502781,6.133372012289089,6.109980647340194,5.635503633902907,5.764250221423291,5.79727281774354,5.736894826106403,2.9887076586170265,2.9719517448885875,3.011113375592293,3.060583245873607,7.29,6.8,6.0,4.3,7.22,,5.9,4.3,6.73,,6.0,4.2,6.58,3.7,6.1,4.0
1987-08-01,4.221124045253227,6.148767396481758,6.143679068074485,6.13148732502781,6.133372012289089,5.501258210544727,5.635503633902907,5.764250221423291,5.79727281774354,2.93651291389402,2.9887076586170265,2.9719517448885875,3.011113375592293,6.69,,5.8,4.4,7.29,6.8,6.0,4.3,7.22,,5.9,4.3,6.73,,6.0,4.2
1987-09-01,4.224787858247391,6.188426327585866,6.148767396481758,6.143679068074485,6.13148732502781,5.484796933490655,5.501258210544727,5.635503633902907,5.764250221423291,2.8495497633759097,2.93651291389402,2.9887076586170265,2.9719517448885875,6.77,,5.7,4.2,6.69,,5.8,4.4,7.29,6.8,6.0,4.3,7.22,,5.9,4.3
1987-10-01,4.22829253473184,6.169104328139786,6.188426327585866,6.148767396481758,6.143679068074485,5.523458920524919,5.484796933490655,5.501258210544727,5.635503633902907,2.8408313123360287,2.8495497633759097,2.93651291389402,2.9887076586170265,6.83,2.3,5.7,4.3,6.77,,5.7,4.2,6.69,,5.8,4.4,7.29,6.8,6.0,4.3
1987-11-01,4.23309149689756,6.091590385719298,6.169104328139786,6.188426327585866,6.148767396481758,5.553347106724568,5.523458920524919,5.484796933490655,5.501258210544727,2.8213788864092133,2.8408313123360287,2.8495497633759097,2.93651291389402,6.58,,5.7,4.3,6.83,2.3,5.7,4.3,6.77,,5.7,4.2,6.69,,5.8,4.4
1987-12-01,4.238877712954399,6.0946775084208396,6.091590385719298,6.169104328139786,6.188426327585866,5.582367852765768,5.553347106724568,5.523458920524919,5.484796933490655,2.785011242238338,2.8213788864092133,2.8408313123360287,2.8495497633759097,6.58,,5.7,4.4,6.58,,5.7,4.3,6.83,2.3,5.7,4.3,6.77,,5.7,4.2
1988-01-01,4.2456340097683265,6.112703825293273,6.0946775084208396,6.091590385719298,6.169104328139786,5.5706319618686955,5.582367852765768,5.553347106724568,5.523458920524919,2.882563575448353,2.785011242238338,2.8213788864092133,2.8408313123360287,6.87,5.4,5.4,4.3,6.58,,5.7,4.4,6.58,,5.7,4.3,6.83,2.3,5.7,4.3
1988-02-01,4.254477313726906,6.112176622270245,6.112703825293273,6.0946775084208396,6.091590385719298,5.54556799320548,5.5706319618686955,5.582367852765768,5.553347106724568,2.857618971424357,2.882563575448353,2.785011242238338,2.8213788864092133,7.09,,5.6,4.3,6.87,5.4,5.4,4.3,6.58,,5.7,4.4,6.58,,5.7,4.3
1988-03-01,4.263806003286451,6.112923042202639,6.112176622270245,6.112703825293273,6.0946775084208396,5.601011196620256,5.54556799320548,5.5706319618686955,5.582367852765768,2.805176911832933,2.857618971424357,2.882563575448353,2.785011242238338,7.51,,5.4,4.5,7.09,,5.6,4.3,6.87,5.4,5.4,4.3,6.58,,5.7,4.4
1988-04-01,4.272351267864781,6.0809669854929025,6.112923042202639,6.112176622270245,6.112703825293273,5.59508305773286,5.601011196620256,5.54556799320548,5.5706319618686955,2.740840023925201,2.805176911832933,2.857618971424357,2.882563575448353,7.75,2.3,5.4,4.5,7.51,,5.4,4.5,7.09,,5.6,4.3,6.87,5.4,5.4,4.3
1988-05-01,4.279301532151069,6.06625657095927,6.0809669854929025,6.112923042202639,6.112176622270245,5.574812093359241,5.59508305773286,5.601011196620256,5.54556799320548,2.7421295147550726,2.740840023925201,2.805176911832933,2.857618971424357,8.01,,5.6,4.4,7.75,2.3,5.4,4.5,7.51,,5.4,4.5,7.09,,5.6,4.3
