Date,National-US,Gold Price t0,Gold Price t1,Gold Price t2,Gold Price t3,SP500 t0,SP500 t1,SP500 t2,SP500 t3,Oil Price t0,Oil Price t1,Oil Price t2,Oil Price t3,FED Effective Rate t0,GDP t0,Unemployment t0,Inflation Rate t0,FED Effective Rate t1,GDP t1,Unemployment t1,Inflation Rate t1,FED Effective Rate t2,GDP t2,Unemployment t2,Inflation Rate t2,FED Effective Rate t3,GDP t3,Unemployment t3,Inflation Rate t3
1986-10-01,63.75,408.524,391.595,396.983,423.86300000000006,264.5,248.6,245.1,237.4,18.65,16.11,15.22,14.9,6.43,2.8,6.6,3.8,6.91,,6.6,3.8,6.04,,6.9,3.8,5.85,2.1,7.0,4.0
1986-11-01,64.15,401.045,408.524,391.595,396.983,280.9,264.5,248.6,245.1,17.75,18.65,16.11,15.22,6.1,,6.6,3.8,6.43,2.8,6.6,3.8,6.91,,6.6,3.8,6.04,,6.9,3.8
1986-12-01,64.49,408.848,401.045,408.524,391.595,292.5,280.9,264.5,248.6,18.3,17.75,18.65,16.11,6.13,,6.6,4.0,6.1,,6.6,3.8,6.43,2.8,6.6,3.8,6.91,,6.6,3.8
1987-01-01,64.99,439.665,408.848,401.045,408.524,289.3,292.5,280.9,264.5,18.68,18.3,17.75,18.65,6.37,4.6,6.3,4.2,6.13,,6.6,4.0,6.1,,6.6,3.8,6.43,2.8,6.6,3.8
1987-02-01,65.57,461.65,439.665,408.848,401.045,289.1,289.3,292.5,280.9,19.44,18.68,18.3,17.75,6.85,,6.3,4.2,6.37,4.6,6.3,4.2,6.13,,6.6,4.0,6.1,,6.6,3.8
1987-03-01,66.24,449.282,461.65,439.665,408.848,301.4,289.1,289.3,292.5,20.07,19.44,18.68,18.3,6.73,,6.2,4.1,6.85,,6.3,4.2,6.37,4.6,6.3,4.2,6.13,,6.6,4.0
1987-04-01,66.8,450.33,449.282,461.65,439.665,310.1,301.4,289.1,289.3,21.34,20.07,19.44,18.68,6.58,3.7,6.1,4.0,6.73,,6.2,4.1,6.85,,6.3,4.2,6.37,4.6,6.3,4.2
1987-05-01,67.29,460.98800000000006,450.33,449.282,461.65,329.4,310.1,301.4,289.1,20.31,21.34,20.07,19.44,6.73,,6.0,4.2,6.58,3.7,6.1,4.0,6.73,,6.2,4.1,6.85,,6.3,4.2
1987-06-01,67.64,460.12,460.98800000000006,450.33,449.282,318.7,329.4,310.1,301.4,19.53,20.31,21.34,20.07,7.22,,5.9,4.3,6.73,,6.0,4.2,6.58,3.7,6.1,4.0,6.73,,6.2,4.1
1987-07-01,67.92,465.764,460.12,460.98800000000006,450.33,280.2,318.7,329.4,310.1,19.86,19.53,20.31,21.34,7.29,6.8,6.0,4.3,7.22,,5.9,4.3,6.73,,6.0,4.2,6.58,3.7,6.1,4.0
1987-08-01,68.11,468.14,465.764,460.12,460.98800000000006,245.0,280.2,318.7,329.4,18.85,19.86,19.53,20.31,6.69,,5.8,4.4,7.29,6.8,6.0,4.3,7.22,,5.9,4.3,6.73,,6.0,4.2
1987-09-01,68.36,487.079,468.14,465.764,460.12,241.0,245.0,280.2,318.7,17.28,18.85,19.86,19.53,6.77,,5.7,4.2,6.69,,5.8,4.4,7.29,6.8,6.0,4.3,7.22,,5.9,4.3
